year,leaid,lea_name,state_location,city_location,agency_type,enrollment,agency_charter_indicator,urban_centric_locale,est_population_total,est_population_5_17,est_population_5_17_pct,est_population_5_17_poverty,est_population_5_17_poverty_pct
"2020","4100015","Gervais SD 1","OR","Gervais","Regular local school district","1507","","Town, fringe","7079","1464","0.206809","184","0.125683"
"2020","4105610","Gladstone SD 115","OR","Gladstone","Regular local school district","1813","","Suburb, large","12336","1942","0.157425","156","0.08033"
"2020","4105640","Glendale SD 77","OR","Glendale","Regular local school district","280","","Rural, distant","3080","437","0.141883","92","0.210526"
"2020","4105670","Glide SD 12","OR","Glide","Regular local school district","692","","Rural, remote","5943","723","0.121656","121","0.167358"
"2020","4105910","Grants Pass SD 7","OR","Grants Pass","Regular local school district","5687","","City, small","38657","6358","0.164472","885","0.139195"
"2020","4101120","Greater Albany Public SD 8J","OR","Albany","Regular local school district","8990","","City, small","68004","10992","0.161638","1097","0.0998"
"2020","4106000","Gresham-Barlow SD 10J","OR","Gresham","Regular local school district","11661","","Suburb, large","84854","14275","0.16823","1390","0.097373"
"2020","4102490","Harney County SD 3","OR","Burns","Regular local school district","745","","Town, remote","5964","872","0.146211","169","0.193807"
"2020","4103600","Harney County SD 4","OR","Crane","Regular local school district","785","","Rural, fringe","788","69","0.087563","20","0.289855"
"2020","4103630","Harney County Union High SD 1J","OR","Crane","Regular local school district","1110","","Rural, remote","1409","76","0.053939","15","0.197368"
"2020","4106120","Harper SD 66","OR","Harper","Charter agency","179","","Rural, remote","284","60","0.211268","23","0.383333"
"2020","4100019","Harrisburg SD 7J","OR","Harrisburg","Regular local school district","712","","Town, fringe","5751","1109","0.192836","145","0.130748"
"2020","4106270","Helix SD 1","OR","Helix","Regular local school district","162","","Rural, distant","449","108","0.240535","7","0.064815"
"2020","4106300","Hermiston SD 8","OR","Hermiston","Regular local school district","5508","","Town, distant","27439","5329","0.194213","598","0.112216"
"2020","4100023","Hillsboro SD 1J","OR","Hillsboro","Regular local school district","19407","","City, midsize","142723","24421","0.171108","1774","0.072642"
"2020","4106510","Hood River County SD","OR","Hood River","Regular local school district","3761","","Town, remote","23280","4003","0.17195","405","0.101174"
"2020","4106600","Huntington SD 16J","OR","Huntington","Charter agency","21","","Rural, remote","544","63","0.115809","18","0.285714"
"2020","4106630","Imbler SD 11","OR","Imbler","Charter agency","294","","Rural, distant","1425","249","0.174737","20","0.080321"
"2020","4100047","Ione SD R2","OR","Ione","Charter agency","150","","Rural, remote","675","120","0.177778","8","0.066667"
"2020","4106740","Jefferson County SD 509J","OR","Madras","Regular local school district","2755","","Town, distant","18412","3358","0.182381","582","0.173317"
"2020","4106710","Jefferson SD 14J","OR","Jefferson","Regular local school district","782","","Rural, fringe","6961","1205","0.173107","125","0.103734"
"2020","4106750","Jewell SD 8","OR","Seaside","Regular local school district","105","","Rural, remote","1102","178","0.161525","42","0.235955"
"2020","4106780","John Day SD 3","OR","Canyon City","Regular local school district","543","","Rural, remote","4856","642","0.132208","98","0.152648"
"2020","4106820","Jordan Valley SD 3","OR","Jordan Valley","Regular local school district","49","","Rural, remote","426","76","0.178404","19","0.25"
"2020","4106870","Joseph SD 6","OR","Joseph","Regular local school district","270","","Rural, remote","2186","254","0.116194","35","0.137795"
"2020","4106930","Junction City SD 69","OR","Junction City","Regular local school district","1639","","Town, fringe","13663","2026","0.148284","243","0.119941"
"2020","4106960","Juntura SD 12","OR","Vale","Regular local school district","4","","Rural, remote","118","22","0.186441","3","0.136364"
"2020","4107020","Klamath County SD","OR","Klamath Falls","Regular local school district","6784","","Rural, fringe","44309","7025","0.158546","1150","0.163701"
"2020","4107080","Klamath Falls City Schools","OR","Klamath Falls","Regular local school district","2770","","Town, remote","24430","3841","0.157225","768","0.199948"
"2020","4100040","Knappa SD 4","OR","Astoria","Regular local school district","494","","Rural, distant","3540","547","0.15452","57","0.104205"
"2020","4107200","La Grande SD 1","OR","La Grande","Regular local school district","2183","","Town, remote","17532","2760","0.157426","383","0.138768"
"2020","4107280","Lake County SD 7","OR","Lakeview","Regular local school district","719","","Town, remote","5252","725","0.138043","112","0.154483"
"2020","4107230","Lake Oswego SD 7J","OR","Lake Oswego","Regular local school district","6860","","Suburb, large","45544","7425","0.163029","224","0.030168"
"2020","4107380","Lebanon Community SD 9","OR","Lebanon","Regular local school district","3781","","Town, fringe","32341","5042","0.155901","583","0.115629"
"2020","4107500","Lincoln County SD","OR","Newport","Regular local school district","5001","","Town, distant","50755","6185","0.12186","1129","0.182538"
"2020","4107530","Long Creek SD 17","OR","Long Creek","Regular local school district","37","","Rural, remote","383","48","0.125326","17","0.354167"
"2020","4107590","Lowell SD 71","OR","Lowell","Regular local school district","1254","","Rural, distant","2788","419","0.150287","42","0.100239"
"2020","4100042","Malheur County SD 51","OR","Vale","Regular local school district","2","","Rural, remote","","","","",""
"2020","4107710","Mapleton SD 32","OR","Mapleton","Regular local school district","144","","Rural, remote","1741","188","0.107984","46","0.244681"
"2020","4107740","Marcola SD 79J","OR","Marcola","Regular local school district","757","","Rural, fringe","2047","232","0.113337","25","0.107759"
"2020","4107980","McKenzie SD 68","OR","Finn Rock","Charter agency","190","","Rural, distant","2468","275","0.111426","45","0.163636"
